attempt_identity,replicate_index,run_id,outcome,elapsed_s,reason,manifest_sha256
facefix-20260826-r01,0,bv20-dfb8f1827880730362014cd4,failed,900.0,time limit,dfb8f1827880730362014cd4b53a5808a5d9510e84eaf6f9ecb6136b353d62c3
facefix-20260826-r02,1,bv20-3215d1eefdc67354709d22b6,failed,900.0,time limit,3215d1eefdc67354709d22b638e73ca757d8354095aee9fb19b43d8ba400b88e
facefix-20260826-r03,2,bv20-c31cc1a41f2f1a372f23bbc5,passed,866.0,,c31cc1a41f2f1a372f23bbc521a18a84695d351edd69ca4318c3a36fe984006c
facefix-20260826-r04,3,bv20-1df57b94522ed9312ba37cd9,passed,529.7,,1df57b94522ed9312ba37cd9c9dd20b3b2607b0c04f3bf5119e70f27b5e774ce
facefix-20260826-r05,4,bv20-518e5dee7229459b3a07912f,failed,900.0,time limit,518e5dee7229459b3a07912f444ad8c8d1b56aa47d9592ca1743923ba3bd4cd8
facefix-20260826-r06,5,bv20-bfcc24ecfa64f2d4b50b25af,passed,466.9,,bfcc24ecfa64f2d4b50b25aff9851c885ab2e98104a8a25ac16223220ba7e30c
facefix-20260826-r07,6,bv20-7ad71f56f0e29ab2b7254306,passed,579.1,,7ad71f56f0e29ab2b725430666ad7b22dd7263179ee7c3b0ce56f0ba1f712e50
facefix-20260826-r08,7,bv20-32813186e741a7dbfc890a37,passed,710.4,,32813186e741a7dbfc890a37a9e355202cba69dd376af3efdda48edfd1a8cba7
facefix-20260826-r09,8,bv20-35280a605a6b33aae9a44893,passed,786.9,,35280a605a6b33aae9a44893bc0cae8a94dcc4226f239046eefd4f77be19795b
facefix-20260826-r10,9,bv20-8b2cb46ac4acba202d6a2c79,passed,653.1,,8b2cb46ac4acba202d6a2c79f91d2e57bda646a8956a6c171a11b48fc6843edf
facefix-20260826-r11,10,bv20-c8dc89def140ab3c0322e4b5,passed,829.3,,c8dc89def140ab3c0322e4b59c13b0eb7cc813aa130f64f3bee3732139608f55
facefix-20260826-r12,11,bv20-f8c9449781811c14daafc304,passed,478.0,,f8c9449781811c14daafc304d9e2330d831b13fecedf2c88aa076cc248926427
facefix-20260826-r13,12,bv20-4893d3336d0a357e0ecf8411,passed,892.6,,4893d3336d0a357e0ecf84110d65030846b02fdb4def216c031df73f5021654e
facefix-20260826-r14,13,bv20-90b103f41087e39ec6904255,passed,619.1,,90b103f41087e39ec69042556436dd43c80eae35152e4ab58312dd257b1a1ce4
facefix-20260826-r15,14,bv20-6b73cf7580682f0ac0e23092,failed,900.0,time limit,6b73cf7580682f0ac0e23092b53a908fa3fceb8d7f29820d38acb1d1830318e5
facefix-20260826-r16,15,bv20-27c8c710baaf8df681892668,passed,882.4,,27c8c710baaf8df68189266837349715f9d641f57f1bffc87c9cd9e0f23e2540
